scenario,rms_phi,rms_theta,rms_z_err,peak_p,peak_q,peak_r,peak_w,sat_rate,mean_iter_us,p50_iter_us,p99_iter_us
S1,0.003060,0.005902,0.479299,0.066317,0.248431,0.066597,1.111019,0.000000,1886.464370,1649.718000,5340.024350
S2a,0.023136,0.037971,0.492454,0.359835,0.412997,0.447820,1.111019,0.015111,1766.218486,1586.803500,4267.531950
S2b,0.023606,0.046359,0.510632,0.601524,0.676567,0.374583,1.111019,0.008556,1924.713577,1565.442000,4838.211600
S3a,0.061729,0.119341,0.556525,0.956351,1.518192,1.545569,1.111019,0.253778,2148.406139,1792.291000,6703.517060
S3b,0.281130,0.190934,0.677537,3.887226,2.161475,2.152944,1.259791,0.157667,1943.440101,1589.440000,5663.636350
S4,0.193981,0.728501,1.463617,3.030459,1.110186,2.134556,3.416396,0.547000,1814.117565,1540.711500,4313.757870
S6,0.003060,0.005902,0.484932,0.066317,0.248431,0.066557,1.111019,0.000000,1744.116079,1556.441000,4887.866020
S7,0.011398,0.008501,0.479293,0.225285,0.342645,0.066710,1.111019,0.000556,1670.885105,1479.692500,3833.135550
S8,0.093875,0.166554,0.564425,1.032470,1.658446,2.067058,1.111019,0.287556,1626.417833,1530.066500,3919.038570
